Freq.	I(R1)
1.63681652142779e+008	(-9.87460167790696e+001dB,-9.20763036443715e+001°)
1.64058977319952e+008	(-9.86845152632368e+001dB,-9.20812360286113e+001°)
1.64437172321491e+008	(-9.86230065546577e+001dB,-9.20861810357736e+001°)
1.64816239152549e+008	(-9.85614906176168e+001dB,-9.20911387039545e+001°)
1.65196179822900e+008	(-9.84999674162082e+001dB,-9.20961090713533e+001°)
1.65576996346951e+008	(-9.84384369143363e+001dB,-9.21010921763154e+001°)
1.65958690743754e+008	(-9.83768990757134e+001dB,-9.21060880574082e+001°)
1.66341265037015e+008	(-9.83153538638589e+001dB,-9.21110967533397e+001°)
1.66724721255104e+008	(-9.82538012420981e+001dB,-9.21161183030682e+001°)
1.67109061431069e+008	(-9.81922411735617e+001dB,-9.21211527454545e+001°)
1.67494287602642e+008	(-9.81306736211835e+001dB,-9.21262001198944e+001°)
1.67880401812254e+008	(-9.80690985477001e+001dB,-9.21312604657037e+001°)
1.68267406107045e+008	(-9.80075159156499e+001dB,-9.21363338223702e+001°)
1.68655302538872e+008	(-9.79459256873708e+001dB,-9.21414202296103e+001°)
1.69044093164324e+008	(-9.78843278249995e+001dB,-9.21465197273501e+001°)
1.69433780044731e+008	(-9.78227222904716e+001dB,-9.21516323556324e+001°)
1.69824365246172e+008	(-9.77611090455184e+001dB,-9.21567581546324e+001°)
1.70215850839493e+008	(-9.76994880516665e+001dB,-9.21618971647767e+001°)
1.70608238900310e+008	(-9.76378592702372e+001dB,-9.21670494266450e+001°)
1.71001531509027e+008	(-9.75762226623440e+001dB,-9.21722149809423e+001°)
1.71395730750840e+008	(-9.75145781888929e+001dB,-9.21773938686100e+001°)
1.71790838715757e+008	(-9.74529258105796e+001dB,-9.21825861307566e+001°)
1.72186857498599e+008	(-9.73912654878889e+001dB,-9.21877918086246e+001°)
1.72583789199018e+008	(-9.73295971810938e+001dB,-9.21930109437250e+001°)
1.72981635921508e+008	(-9.72679208502541e+001dB,-9.21982435776284e+001°)
1.73380399775412e+008	(-9.72062364552142e+001dB,-9.22034897521956e+001°)
1.73780082874935e+008	(-9.71445439556031e+001dB,-9.22087495093664e+001°)
1.74180687339159e+008	(-9.70828433108323e+001dB,-9.22140228913821e+001°)
1.74582215292048e+008	(-9.70211344800944e+001dB,-9.22193099406371e+001°)
1.74984668862463e+008	(-9.69594174223625e+001dB,-9.22246106995994e+001°)
1.75388050184174e+008	(-9.68976920963880e+001dB,-9.22299252111188e+001°)
1.75792361395867e+008	(-9.68359584607002e+001dB,-9.22352535180154e+001°)
1.76197604641161e+008	(-9.67742164736036e+001dB,-9.22405956634782e+001°)
1.76603782068614e+008	(-9.67124660931783e+001dB,-9.22459516907815e+001°)
1.77010895831740e+008	(-9.66507072772768e+001dB,-9.22513216434804e+001°)
1.77418948089014e+008	(-9.65889399835240e+001dB,-9.22567055652549e+001°)
1.77827941003890e+008	(-9.65271641693152e+001dB,-9.22621035000342e+001°)
1.78237876744807e+008	(-9.64653797918152e+001dB,-9.22675154917470e+001°)
1.78648757485203e+008	(-9.64035868079550e+001dB,-9.22729415849318e+001°)
1.79060585403527e+008	(-9.63417851744338e+001dB,-9.22783818238978e+001°)
1.79473362683250e+008	(-9.62799748477143e+001dB,-9.22838362533904e+001°)
1.79887091512876e+008	(-9.62181557840233e+001dB,-9.22893049182716e+001°)
1.80301774085954e+008	(-9.61563279393486e+001dB,-9.22947878636854e+001°)
1.80717412601090e+008	(-9.60944912694399e+001dB,-9.23002851348908e+001°)
1.81134009261958e+008	(-9.60326457298045e+001dB,-9.23057967773607e+001°)
1.81551566277311e+008	(-9.59707912757076e+001dB,-9.23113228368758e+001°)
1.81970085860996e+008	(-9.59089278621710e+001dB,-9.23168633592944e+001°)
1.82389570231961e+008	(-9.58470554439698e+001dB,-9.23224183907864e+001°)
1.82810021614272e+008	(-9.57851739756334e+001dB,-9.23279879776873e+001°)
1.83231442237119e+008	(-9.57232834114416e+001dB,-9.23335721664947e+001°)
1.83653834334832e+008	(-9.56613837054249e+001dB,-9.23391710040047e+001°)
1.84077200146893e+008	(-9.55994748113611e+001dB,-9.23447845371872e+001°)
1.84501541917945e+008	(-9.55375566827759e+001dB,-9.23504128132321e+001°)
1.84926861897805e+008	(-9.54756292729392e+001dB,-9.23560558796158e+001°)
1.85353162341478e+008	(-9.54136925348649e+001dB,-9.23617137839467e+001°)
1.85780445509167e+008	(-9.53517464213097e+001dB,-9.23673865739487e+001°)
1.86208713666284e+008	(-9.52897908847693e+001dB,-9.23730742978980e+001°)
1.86637969083464e+008	(-9.52278258774788e+001dB,-9.23787770039753e+001°)
1.87068214036577e+008	(-9.51658513514108e+001dB,-9.23844947406988e+001°)
1.87499450806739e+008	(-9.51038672582723e+001dB,-9.23902275569429e+001°)
1.87931681680324e+008	(-9.50418735495058e+001dB,-9.23959755015368e+001°)
1.88364908948977e+008	(-9.49798701762842e+001dB,-9.24017386238081e+001°)
1.88799134909627e+008	(-9.49178570895124e+001dB,-9.24075169730997e+001°)
1.89234361864495e+008	(-9.48558342398225e+001dB,-9.24133105991957e+001°)
1.89670592121112e+008	(-9.47938015775746e+001dB,-9.24191195519433e+001°)
1.90107827992327e+008	(-9.47317590528547e+001dB,-9.24249438814900e+001°)
1.90546071796322e+008	(-9.46697066154707e+001dB,-9.24307836382829e+001°)
1.90985325856621e+008	(-9.46076442149540e+001dB,-9.24366388728442e+001°)
1.91425592502106e+008	(-9.45455718005550e+001dB,-9.24425096361417e+001°)
1.91866874067026e+008	(-9.44834893212427e+001dB,-9.24483959793069e+001°)
1.92309172891013e+008	(-9.44213967257033e+001dB,-9.24542979535799e+001°)
1.92752491319091e+008	(-9.43592939623363e+001dB,-9.24602156106392e+001°)
1.93196831701689e+008	(-9.42971809792554e+001dB,-9.24661490023412e+001°)
1.93642196394658e+008	(-9.42350577242847e+001dB,-9.24720981807757e+001°)
1.94088587759275e+008	(-9.41729241449578e+001dB,-9.24780631983165e+001°)
